[ 2025-04-02 02:54:17,580 ] News query failed: "Unrecognized event news."
[ 2025-04-02 02:54:19,546 ] BattlEye: "Initialized (v1.249)"
[ 2025-04-02 02:54:19,546 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2025-04-02 02:54:19,546 ] BattlEye: "Restarting client is necessary, update required"
[ 2025-04-02 02:54:19,546 ] BattlEye: "Config entry: GameID tibia"
[ 2025-04-02 02:54:19,546 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-04-02 02:54:19,621 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 02:54:19,627 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 02:54:19,641 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 02:54:19,888 ] News query failed: "Unrecognized event news."
[ 2025-04-02 03:02:22,681 ] Warning: Setting a new default format with a different version or profile after the global shared context is created may cause issues with context sharing.
[ 2025-04-02 03:02:22,832 ] Using spritesheet cache size of 910
[ 2025-04-02 03:02:23,859 ] Asset loading complete
[ 2025-04-02 03:02:24,674 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1dfbdc4ac80), parent's thread is QThread(0x1dfb58f42c0), current thread is QSGRenderThread(0x1dfbe0c6130)
[ 2025-04-02 03:02:33,881 ] News query failed: "Unrecognized event news."
[ 2025-04-02 03:02:35,553 ] BattlEye: "Initialized (v1.249)"
[ 2025-04-02 03:02:35,553 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2025-04-02 03:02:35,553 ] BattlEye: "Restarting client is necessary, update required"
[ 2025-04-02 03:02:35,554 ] BattlEye: "Config entry: GameID tibia"
[ 2025-04-02 03:02:35,554 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-04-02 03:02:35,653 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
